"Nama_Kabupaten","Indeks_Pangan","Konsumsi_Protein","Stunting_2018"
"pangkajene dan kepulauan",81.59,70.6,50.5
"paniai",60.04,38.8,42.4
"parigi moutong",72.07,54.9,33.7
"pasaman",77.98,61.4,40.6
"pasaman barat",75.2,58.8,35.1
"paser",72.76,64.3,27.5
"pasuruan",75.97,61.5,39.7
"pasuruan",75.97,64.2,39.7
"pati",84.04,64.3,37.9
"pegunungan arfak",30.25,39.2,35
"pegunungan bintang",27.71,29.5,38
"pekalongan",71.17,66.4,35.1
"pekalongan",71.17,62.4,35.1
"pelalawan",70.78,59.6,25.5
"pemalang",74.96,72.4,33.7
"penajam paser utara",80.18,63.1,31.6
"penukal abab lematang ilir",67.97,56.8,39.5
"pesawaran",72.54,60.2,27.5
"pesisir barat",67.99,55.3,24.4
"pesisir selatan",49.92,54.4,26.5
"pidie",75.45,63.7,36.2
"pidie jaya",71.62,69.2,36.8
"pinrang",81.01,56.6,43.6
"pohuwato",68.24,56.1,23.6
"polewali mandar",77.37,59.9,38.2
"ponorogo",81.1,56.1,30.5
"poso",77.96,60,26.2
"pringsewu",78.48,57.2,20.2
"probolinggo",69.75,59.7,39.9
"probolinggo",69.75,63,39.9
"pulang pisau",54.48,65.9,32.1
"pulau morotai",72.79,48.4,36.8
"pulau taliabu",50.9,47.5,37
"puncak",24.21,23.3,26.5
"puncak jaya",57.05,31.8,35.4
"purbalingga",74,51.3,28.9
"purwakarta",75.55,66.3,41
"purworejo",78.63,57.9,23.3
"raja ampat",54.99,55.2,27.6
"rejang lebong",71.35,59.7,26
"rembang",77.71,64.1,25.7
"rokan hilir",57.76,61.9,38.1
"rokan hulu",52.74,58.1,27.2
"rote ndao",62.43,53,44
"sabu raijua",38.58,62.3,46.5
"sambas",75.77,58.9,39
"samosir",72.58,71.1,24.4
"sampang",68.69,59.4,47.9
"sanggau",60.58,56.9,31.9
"sarmi",32.55,50.1,19
"sarolangun",72.7,56.6,18.8
"sekadau",69.76,54.9,28.7
"seluma",69.74,54.4,35.9
"semarang",82.66,57,24.9
"semarang",82.66,62.5,24.9
"seram bagian barat",58.51,45.7,33.6
"seram bagian timur",35.76,51.4,40.6
"serang",75.58,59.6,32
"serang",75.58,66.3,32
"serdang bedagai",78.3,62.2,36
"seruyan",79.27,66.2,21.8
"siak",58.18,60.8,21
"sidenreng rappang",83.44,71.6,31.7
"sidoarjo",73.55,60.8,27
"sigi",74.82,60.2,43
"sijunjung",75.34,56,35
"sikka",56.32,50.5,33
"simalungun",73.45,63.3,28.4
"simeulue",67.97,51.6,47.3
"sinjai",75.92,73.6,42.2
"sintang",76.44,52.3,33.2
"situbondo",73.32,71.9,30.7
"sleman",83.49,73,14.7
"solok",80.66,55.5,41.5
"solok",80.66,57.3,41.5
"solok selatan",75.82,59.5,27.7
"soppeng",79.09,58.7,35.5
"sorong",55.02,57.1,32.3
"sorong",55.02,60.3,32.3
"sorong selatan",44.02,43,39.6
"sragen",82.22,59.1,33.2
"subang",78.85,69,28.6
"sukabumi",74.32,63.9,41.4
"sukabumi",74.32,66.9,41.4
"sukamara",71.23,70.9,24.9
"sukoharjo",85.21,56.2,31.3
"sumba barat",74.11,52.7,47.8
"sumba barat daya",68.9,57.3,40
"sumba tengah",54.86,53,45.4
"sumba timur",61.44,57.4,39.3
"sumbawa",76.25,67.7,31.5
"sumbawa barat",77.73,81.7,18.3
"sumedang",79.18,65.5,32.2
"sumenep",68.64,78,34.3
"supiori",35.55,79.7,35
"tabalong",81.11,66.1,39.6
"tabanan",88.3,62.6,16.1
"takalar",80.15,61.4,40.6
"tambrauw",26.03,43.6,41.5
"tana tidung",78.26,62.1,37.6
"tana toraja",74.48,59.7,47
"tanah bumbu",84.06,66.5,28.6
"tanah datar",73.36,58.4,26.3
"tanah laut",79.76,64.6,33.2
"tangerang",71.1,77.1,23.2
"tangerang",71.1,70.7,23.2
"tanggamus",72.18,55.5,29.9
"tanjung jabung barat",74.18,59.6,44
"tanjung jabung timur",71.04,57.8,40.9
"tapanuli selatan",70.47,62.3,28.8
"tapanuli tengah",63.43,62.3,43.7
"tapanuli utara",67.37,67.1,38.3
"tapin",83,74.2,36
"tasikmalaya",72.28,59.5,33.8
"tasikmalaya",72.28,70.1,33.8
"tebo",73.89,64.1,33
"tegal",74.7,66.7,30.6
"tegal",74.7,69.2,30.6
"teluk bintuni",37.23,53.8,28.5
"teluk wondama",33.22,48.5,25.3
"temanggung",79.27,51.1,30.3
"timor tengah selatan",61.28,56,56
"timor tengah utara",61.5,57.4,56.8
"toba samosir",82.32,70.4,29.7
"tojo una-una",63.73,48.5,26.2
"toli-toli",78.12,49.8,31.7
"tolikara",29.83,37,21.3
"toraja utara",75.21,60.1,40.7
"trenggalek",76.35,57.2,39.9
"tuban",78.61,63.9,30.8
"tulang bawang barat",80.7,48.2,27.2
"tulungagung",81.88,58.5,26.2
"wajo",81.24,63.2,32.2
"wakatobi",72.23,59.6,29.1
"waropen",50.18,52.9,52.6
"way kanan",78.24,57.4,36.1
"wonogiri",81.83,56.1,27.9
"wonosobo",75.87,57,31.5
"yahukimo",28.31,30.7,34.2
"yalimo",30.71,43.8,0
