KD_PROV,KD_KABKOTA,PROVINSI,KABKOTA,kdprov,kdkab,nmprov,nmkab,thn_prior,PCT_STUNTING_2013,PCT_STUNTING_2018
14,1409,RIAU,Rokan Hilir,14,1407,RIAU,Kab. Rokan Hilir,2020,33.69,38.1
14,1410,RIAU,Kepulauan Meranti,14,1410,RIAU,Kab. Kepulauan Meranti,2020,37.7,29.9
14,1471,RIAU,Kota Pekanbaru,14,1471,RIAU,Kota Pekanbaru,2021,34.65,16
14,1473,RIAU,Kota Dumai,14,1472,RIAU,Kota Dumai,2022,34.11,17.3
15,1501,JAMBI,Kerinci,15,1501,JAMBI,Kab. Kerinci,2018,55.26,42.4
15,1502,JAMBI,Merangin,15,1502,JAMBI,Kab. Merangin,2020,37.52,35
15,1503,JAMBI,Sarolangun,15,1503,JAMBI,Kab. Sarolangun,2022,40.83,18.8
15,1504,JAMBI,Batang Hari,15,1504,JAMBI,Kab. Batanghari,2022,39.55,32.8
15,1505,JAMBI,Muaro Jambi,15,1505,JAMBI,Kab. Muaro Jambi,2022,50.06,20.7
15,1506,JAMBI,Tanjung Jabung Timur,15,1507,JAMBI,Kab. Tanjung Jabung Timur,2019,48.49,40.9
15,1507,JAMBI,Tanjung Jabung Barat,15,1506,JAMBI,Kab. Tanjung Jabung Barat,2020,29.55,44
15,1508,JAMBI,Tebo,15,1509,JAMBI,Kab. Tebo,2021,41.46,33
15,1509,JAMBI,Bungo,15,1508,JAMBI,Kab. Bungo,2022,34.52,20.7
15,1571,JAMBI,Kota Jambi,15,1571,JAMBI,Kota Jambi,2021,24.52,26.2
15,1572,JAMBI,Kota Sungai Penuh,15,1572,JAMBI,Kota Sungai Penuh,2022,36.89,35.8
16,1601,SUMATERA SELATAN,Ogan Komering Ulu,16,1601,SUMATERA SELATAN,Kab. Ogan Komering Ulu,2021,40.72,33.2
16,1602,SUMATERA SELATAN,Ogan Komering Ilir,16,1602,SUMATERA SELATAN,Kab. Ogan Komering Ilir,2018,40.55,30.6
16,1603,SUMATERA SELATAN,Muara Enim,16,1603,SUMATERA SELATAN,Kab. Muara Enim,2019,46,34.4
16,1604,SUMATERA SELATAN,Lahat,16,1604,SUMATERA SELATAN,Kab. Lahat,2020,37.15,48.1
16,1605,SUMATERA SELATAN,Musi Rawas,16,1605,SUMATERA SELATAN,Kab. Musi Rawas,2021,39.79,34.6
16,1606,SUMATERA SELATAN,Musi Banyuasin,16,1606,SUMATERA SELATAN,Kab. Musi Banyuasin,2021,38.57,31.1
16,1607,SUMATERA SELATAN,Banyu Asin,16,1607,SUMATERA SELATAN,Kab. Banyuasin,2020,39.55,29.3
16,1608,SUMATERA SELATAN,Ogan Komering Ulu Selatan,16,1609,SUMATERA SELATAN,Kab. Ogan Komering Ulu Selatan,2022,38.69,26.4
16,1609,SUMATERA SELATAN,Ogan Komering Ulu Timur,16,1608,SUMATERA SELATAN,Kab. Ogan Komering Ulu Timur,2021,45.43,27.2
16,1610,SUMATERA SELATAN,Ogan Ilir,16,1610,SUMATERA SELATAN,Kab. Ogan Ilir,2020,32.67,43.9
16,1611,SUMATERA SELATAN,Empat Lawang,16,1611,SUMATERA SELATAN,Kab. Empat Lawang,2022,29.03,36
16,1612,SUMATERA SELATAN,Penukal Abab Lematang Ilir,16,1612,SUMATERA SELATAN,Kab. Penukal Abab Lematang Ilir,2021,46,39.5
16,1613,SUMATERA SELATAN,Musi Rawas Utara,16,1613,SUMATERA SELATAN,Kab. Musi Rawas Utara,2022,39.79,33.2
16,1671,SUMATERA SELATAN,Kota Palembang,16,1671,SUMATERA SELATAN,Kota Palembang,2020,27.44,25.9
16,1672,SUMATERA SELATAN,Kota Prabumulih,16,1674,SUMATERA SELATAN,Kota Prabumulih,2022,38.67,26.2
16,1673,SUMATERA SELATAN,Kota Pagar Alam,16,1672,SUMATERA SELATAN,Kota Pagar Alam,2022,37.1,31.9
16,1674,SUMATERA SELATAN,Kota Lubuklinggau,16,1673,SUMATERA SELATAN,Kota Lubuk Linggau,2022,23.31,32
17,1701,BENGKULU,Bengkulu Selatan,17,1701,BENGKULU,Kab. Bengkulu Selatan,2020,39.79,33.7
17,1702,BENGKULU,Rejang Lebong,17,1702,BENGKULU,Kab. Rejang Lebong,2022,49.89,26
17,1703,BENGKULU,Bengkulu Utara,17,1703,BENGKULU,Kab. Bengkulu Utara,2019,39.58,26.8
17,1704,BENGKULU,Kaur,17,1704,BENGKULU,Kab. Kaur,2018,50.71,34.3
17,1705,BENGKULU,Seluma,17,1705,BENGKULU,Kab. Seluma,2020,36.84,35.9
17,1706,BENGKULU,Mukomuko,17,1706,BENGKULU,Kab. Muko Muko,2022,40.06,33.1
17,1707,BENGKULU,Lebong,17,1707,BENGKULU,Kab. Lebong,2022,31.75,26.1
17,1708,BENGKULU,Kepahiang,17,1708,BENGKULU,Kab. Kepahiang,2022,44.49,36.7
17,1709,BENGKULU,Bengkulu Tengah,17,1709,BENGKULU,Kab. Bengkulu Tengah,2022,37.91,23.3
17,1771,BENGKULU,Kota Bengkulu,17,1771,BENGKULU,Kota Bengkulu,2022,31.49,18
18,1801,LAMPUNG,Lampung Barat,18,1804,LAMPUNG,Kab. Lampung Barat,2022,34.6,33
18,1802,LAMPUNG,Tanggamus,18,1806,LAMPUNG,Kab. Tanggamus,2019,39.66,29.9
18,1803,LAMPUNG,Lampung Selatan,18,1801,LAMPUNG,Kab. Lampung Selatan,2018,43.01,29.1
18,1804,LAMPUNG,Lampung Timur,18,1807,LAMPUNG,Kab. Lampung Timur,2018,43.17,24.7
18,1805,LAMPUNG,Lampung Tengah,18,1802,LAMPUNG,Kab. Lampung Tengah,2018,52.68,25.3
18,1806,LAMPUNG,Lampung Utara,18,1803,LAMPUNG,Kab. Lampung Utara,2020,32.44,26.6
18,1807,LAMPUNG,Way Kanan,18,1808,LAMPUNG,Kab. Way Kanan,2021,29.8,36.1
18,1808,LAMPUNG,Tulangbawang,18,1805,LAMPUNG,Kab. Tulang Bawang,2021,40.99,32.5
18,1809,LAMPUNG,Pesawaran,18,1809,LAMPUNG,Kab. Pesawaran,2020,50.81,27.5
18,1810,LAMPUNG,Pringsewu,18,1810,LAMPUNG,Kab. Pringsewu,2021,36.99,20.2
18,1811,LAMPUNG,Mesuji,18,1811,LAMPUNG,Kab. Mesuji,2022,43.43,28.2
18,1812,LAMPUNG,Tulang Bawang Barat,18,1812,LAMPUNG,Kab. Tulang Bawang Barat,2022,40.08,27.2
18,1813,LAMPUNG,Pesisir Barat,18,1813,LAMPUNG,Kab. Pesisir Barat,2022,34.6,24.4
18,1871,LAMPUNG,Kota Bandar Lampung,18,1871,LAMPUNG,Kota Bandar Lampung,2021,44.59,25.1
18,1872,LAMPUNG,Kota Metro,18,1872,LAMPUNG,Kota Metro,2022,47.34,14.8
19,1901,KEP. BANGKA BELITUNG,Bangka,19,1901,KEPULAUAN BANGKA BELITUNG,Kab. Bangka,2019,32.27,23.9
19,1902,KEP. BANGKA BELITUNG,Belitung,19,1902,KEPULAUAN BANGKA BELITUNG,Kab. Belitung,2022,21.46,19.9
19,1903,KEP. BANGKA BELITUNG,Bangka Barat,19,1905,KEPULAUAN BANGKA BELITUNG,Kab. Bangka Barat,2018,39.14,33.3
19,1904,KEP. BANGKA BELITUNG,Bangka Tengah,19,1904,KEPULAUAN BANGKA BELITUNG,Kab. Bangka Tengah,2022,30.87,26.1
19,1905,KEP. BANGKA BELITUNG,Bangka Selatan,19,1903,KEPULAUAN BANGKA BELITUNG,Kab. Bangka Selatan,2020,32.6,26.9
19,1906,KEP. BANGKA BELITUNG,Belitung Timur,19,1906,KEPULAUAN BANGKA BELITUNG,Kab. Belitung Timur,2022,26.72,14.7
19,1971,KEP. BANGKA BELITUNG,Kota Pangkal Pinang,19,1971,KEPULAUAN BANGKA BELITUNG,Kota Pangkal Pinang,2022,12.57,13.3
21,2101,KEP. RIAU,Karimun,21,2102,KEPULAUAN RIAU,Kab. Karimun,2020,29.65,31.6
21,2102,KEP. RIAU,Bintan,21,2101,KEPULAUAN RIAU,Kab. Bintan,2022,33.88,21.5
21,2103,KEP. RIAU,Natuna,21,2103,KEPULAUAN RIAU,Kab. Natuna,2018,35.19,22.2
21,2104,KEP. RIAU,Lingga,21,2104,KEPULAUAN RIAU,Kab. Lingga,2019,33.93,22
21,2105,KEP. RIAU,Kepulauan Anambas,21,2105,KEPULAUAN RIAU,Kab. Kepulauan Anambas,2022,26.11,26.1
21,2171,KEP. RIAU,Kota Batam,21,2171,KEPULAUAN RIAU,Kota Batam,2021,25.41,22.9
21,2172,KEP. RIAU,Kota Tanjung Pinang,21,2172,KEPULAUAN RIAU,Kota Tanjung Pinang,2022,17.11,23.3
31,3101,DKI JAKARTA,Kepulauan Seribu,31,3101,DKI JAKARTA,Kab. Adm. Kep. Seribu,2018,41.29,27.1
31,3171,DKI JAKARTA,Kota Jakarta Selatan,31,3174,DKI JAKARTA,Kota Adm. Jakarta Selatan,2021,26.34,16.2
31,3172,DKI JAKARTA,Kota Jakarta Timur,31,3175,DKI JAKARTA,Kota Adm. Jakarta Timur,2020,21.95,18.4
